侧耳倾听,7.9,(2328人评分)
超时空要塞Plus,7.9,(797人评分)
南方公园 第15季,8.0,(313人评分)
玛丽和马克思,7.9,(458人评分)
高分少女 EXTRA STAGE,7.9,(1350人评分)
勇者王GaoGaiGar Final Grand Glorious Gathering,8.1,(181人评分)
进击的巨人 第二季,7.9,(6689人评分)
少年同盟,7.9,(2542人评分)
剑豪生死斗,7.9,(738人评分)
高分少女,7.9,(2791人评分)
剧场版 魔法少女小圆 [前篇] 起始的物语,7.9,(2888人评分)
寻梦环游记,7.9,(2227人评分)
小马驹G4 第四季,8.0,(203人评分)
游戏王－怪兽之决斗,7.9,(1750人评分)
银魂剧场版 完结篇 万事屋永不落,7.9,(2258人评分)
圣母在上 第3季,7.9,(533人评分)
少女☆歌剧 Revue Starlight,7.9,(5572人评分)
黑礁,7.9,(3611人评分)
鲁邦三世,7.9,(563人评分)
神枪少女,7.9,(1542人评分)
魔法少女奈叶 The MOVIE 2nd A’s,7.9,(1141人评分)
超智游戏,7.9,(1124人评分)
王立宇宙军 欧尼亚米斯之翼,7.9,(1054人评分)
佐贺偶像是传奇,7.9,(6322人评分)
机动警察,7.9,(675人评分)
偶像大师 剧场版 向着光辉的彼岸！,7.9,(1637人评分)
续·终物语,7.9,(1778人评分)
剧场版 空之境界 第二章 杀人考察（前）,7.9,(5667人评分)
搞笑漫画日和3,7.9,(2261人评分)
THE BIG-O,7.9,(541人评分)
相聚一刻,8.0,(262人评分)
银魂剧场版 新译红樱篇,7.9,(2746人评分)
心理测量者,7.8,(8169人评分)
监狱兔 第四季,7.9,(1402人评分)
草莓棉花糖,7.9,(2381人评分)
寄生兽 生命的准则,7.8,(6490人评分)
月刊少女野崎君,7.8,(10260人评分)
热带雨林的爆笑生活,7.9,(1903人评分)
搞笑漫画日和2,7.9,(2229人评分)
马男波杰克3,8.0,(219人评分)
希德尼娅的骑士 第九惑星战役,7.9,(2742人评分)
剧场版 Fate/stay night [Heaven's Feel] II.lost butterfly,7.8,(4288人评分)
命运石之门 0,7.8,(4508人评分)
魔法のスターマジカルエミ 蝉時雨,8.2,(83人评分)
月色真美,7.8,(5758人评分)
俗・再见绝望先生,7.8,(2340人评分)
AIR 夏季篇,7.8,(2742人评分)
少女与战车 最终章 第1话,7.9,(1745人评分)
李献计历险记,7.9,(1434人评分)
进击的巨人 最终季,7.8,(3523人评分)
机动战士高达 闪光的哈萨维,7.9,(1107人评分)
赌博默示录 破戒录篇,7.9,(2073人评分)
南方公园 第17季,8.0,(271人评分)
最终流放,7.8,(1719人评分)
乌龙派出所,8.1,(139人评分)
剧场版 空之境界 未来福音,7.8,(3310人评分)
听到涛声,7.8,(1501人评分)
幸运星 OVA,7.8,(2885人评分)
TIGER & BUNNY,7.8,(2592人评分)
哈尔的移动城堡,7.8,(4697人评分)
夏娃的时间 剧场版,7.8,(2027人评分)
夏娃的时间,7.8,(2180人评分)
妖精森林的小不点,7.8,(1857人评分)
小林家的龙女仆S,7.8,(2829人评分)
苍穹之法芙娜 RIGHT OF LEFT,7.8,(832人评分)
南方公园 第14季,8.0,(189人评分)
兽娘动物园,7.8,(4045人评分)
飞出个未来 第1季,8.0,(150人评分)
现视研2,7.8,(1820人评分)
对话的维度,8.0,(143人评分)
水星领航员 The CREPUSCOLO,8.0,(164人评分)
圣母在上 第4季,7.9,(552人评分)
猎人 OVA2,7.9,(790人评分)
热带雨林的爆笑生活FINAL,7.9,(763人评分)
辉夜大小姐想让我告白～天才们的恋爱头脑战～,7.8,(8880人评分)
秀逗魔导士,7.8,(1183人评分)
战斗妖精雪风,7.8,(1242人评分)
热带雨林的爆笑生活DELUXE,7.8,(791人评分)
幽游白书,7.8,(1303人评分)
猎人 OVA3,7.8,(752人评分)
×××HOLiC,7.8,(2623人评分)
狼与香辛料,7.8,(6206人评分)
玉子爱情故事,7.8,(4873人评分)
星界的纹章,7.9,(426人评分)
拥抱！光之美少女,7.9,(354人评分)
希德尼娅的骑士,7.8,(3449人评分)
灵能百分百,7.8,(6121人评分)
玉响～毕业写真～,7.9,(456人评分)
圣母在上 春,7.8,(610人评分)
再见绝望先生,7.8,(3592人评分)
伤物语I 铁血篇,7.8,(3341人评分)
现视研,7.8,(2271人评分)
真盖塔 世界最后之日,7.9,(445人评分)
花园墙外,8.0,(161人评分)
星游记,7.8,(1090人评分)
剧场版 空之境界 第四章 伽蓝之洞,7.8,(5374人评分)
×××HOLiC 笼,7.8,(1357人评分)
高智能方程式：SIN,7.9,(402人评分)
战国鬼才传,7.9,(431人评分)
摇滚新乐团,7.8,(604人评分)
第一神拳,8.0,(171人评分)
银河铁道999,8.0,(137人评分)
东方活动写真馆,7.9,(373人评分)
马男波杰克,7.9,(415人评分)
阿滋漫画大王,7.8,(1382人评分)
向阳素描×蜂窝,7.8,(710人评分)
NOMAD MEGALO BOX 2,7.8,(1553人评分)
黑礁 Roberta’s Blood Trail,7.8,(2119人评分)
我的三体 罗辑传,7.8,(771人评分)
鲁邦三世 第二期,8.1,(84人评分)
游戏王5D's,7.8,(1010人评分)
重金属摇滚双面人,7.8,(660人评分)
宝石之国,7.8,(5565人评分)
Kanon,7.8,(4444人评分)
铳墓,7.8,(746人评分)
伪物语,7.8,(7478人评分)
鼹鼠的故事,7.8,(426人评分)
大~集合！小魔女DoReMi,8.0,(155人评分)
Go! Princess 光之美少女,7.9,(323人评分)
有顶天家族2,7.8,(1893人评分)
少女与战车 最终章 第2话,7.8,(1043人评分)
异种族风俗娘评鉴指南,7.8,(4271人评分)
RWBY预告片,7.8,(886人评分)
金田一少年事件簿,7.8,(606人评分)
魔法少女奈叶A's,7.8,(2054人评分)
放浪男孩,7.8,(2120人评分)
银河铁道999 剧场版,8.0,(141人评分)
降世神通：最后的气宗 第一季,7.8,(504人评分)
疯狂动物城,7.8,(3523人评分)
我们仍未知道那天所看见的花的名字。,7.7,(13890人评分)
圣母在上,7.8,(857人评分)
橙路 再回到往日,8.0,(133人评分)
狱・再见绝望先生,7.8,(1343人评分)
魔卡少女樱 被封印的卡片,7.8,(1817人评分)
名侦探柯南 贝克街的亡灵,7.8,(3681人评分)
忏・再见绝望先生,7.8,(1903人评分)
机动战士高达UC,7.8,(2481人评分)
机动警察 东京毁灭战,7.8,(824人评分)
交响情人梦 巴黎篇,7.8,(1303人评分)
元气囝仔,7.8,(3056人评分)
狼与香辛料 第二季,7.8,(4432人评分)
葫芦兄弟,7.8,(2204人评分)
JOJO的奇妙冒险 幻影血脉,7.8,(853人评分)
马男波杰克4,8.0,(132人评分)
精灵宝可梦,7.7,(2124人评分)
心理测量者 新编集版,7.8,(1611人评分)
终将成为你,7.7,(3636人评分)
机动战士高达 剧场版III 相逢在宇宙,7.8,(437人评分)
和巴什尔跳华尔兹,7.9,(137人评分)
小马驹G4 第三季,7.9,(224人评分)
斗牌传说,7.8,(1182人评分)
剑风传奇 黄金时代篇II 多尔多雷攻略,7.8,(1147人评分)
VOY@GER,7.8,(389人评分)
超时空要塞Plus 剧场版,7.8,(345人评分)
九色鹿,7.8,(955人评分)
蜡笔小新,7.8,(953人评分)
歌剧少女！！,7.8,(900人评分)
南方公园 第13季,7.9,(180人评分)
GOTCHA！,7.8,(347人评分)
草莓棉花糖 OVA 第1期,7.7,(1019人评分)
宇宙战舰大和号2199 第四章「银河边境的攻防」,7.9,(173人评分)
魔女宅急便,7.7,(3012人评分)
女仆咖啡厅,7.7,(2665人评分)
来来猫 第二季,7.9,(220人评分)
搞笑漫画日和＋,7.7,(1813人评分)
你看起来很好吃,7.7,(1725人评分)
数码宝贝大冒险 我们的战争游戏!,7.7,(1001人评分)
好想告诉你 第二季,7.7,(2922人评分)
小马驹G4 第五季,7.9,(180人评分)
少年正义联盟 第二季,8.2,(56人评分)
哪吒闹海,7.7,(985人评分)
向阳素描×365,7.7,(923人评分)
×××HOLiC・笼 徒梦,7.7,(1030人评分)
全金属狂潮,7.7,(4065人评分)
佐贺偶像是传奇 复仇,7.7,(2663人评分)
刀语,7.7,(3257人评分)
剧场版 空之境界 未来福音 extra chorus,7.7,(2494人评分)
阿尔卑斯山的少女,7.9,(143人评分)
罗小黑战记,7.7,(1867人评分)
Heart Catch光之美少女 超级时尚秀在花之都...真的吗！？,7.8,(323人评分)
探险活宝 第三季,8.0,(108人评分)
勇者王GaoGaiGar,7.8,(307人评分)
爱、死亡 & 机器人,7.7,(2515人评分)
蝙蝠侠：黑暗骑士归来（下）,7.9,(191人评分)
探险活宝 第八季,8.2,(55人评分)
飞屋环游记,7.7,(2304人评分)
江户盗贼团五叶,7.7,(1276人评分)
探险活宝 第一季,7.8,(215人评分)
探险活宝 第六季,8.0,(86人评分)
甲贺忍法帖,7.7,(1486人评分)
高达创形者 再起 2期,7.7,(502人评分)
隐瞒之事,7.7,(3118人评分)
食灵-零-,7.7,(3817人评分)
探险活宝 第四季,7.9,(109人评分)
探险活宝 第五季,8.0,(103人评分)
南家三姐妹 我回来了,7.7,(2749人评分)
猫汤,7.7,(1409人评分)
